Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_generic_set_section_contents,✓,✗,✗,✗
bfd_generic_stat_arch_elt,✓,✗,✗,✗
bfd_generic_verify_endian_match,✓,✗,✗,✗
bfd_generic_write_ar_hdr,✓,✗,✗,✗
bfd_get_alt_debug_link_info,✓,✗,✗,✗
bfd_get_arch,✓,✗,✗,✗
bfd_get_arch_size,✓,✗,✗,✗
bfd_get_archive_filename,✓,✗,✗,✗
bfd_get_bits,✓,✗,✗,✗
bfd_get_compression_algorithm,✓,✗,✗,✗
bfd_get_compression_header_size,✓,✗,✗,✗
bfd_get_current_time,✓,✗,✗,✗
bfd_get_debug_link_info,✓,✗,✗,✗
bfd_get_elf_phdr_upper_bound,✓,✗,✗,✗
bfd_get_elf_phdrs,✓,✗,✗,✗
bfd_get_elt_at_filepos,✓,✗,✗,✗
bfd_get_error,✓,✓,✓,✓
bfd_get_file_size,✓,✗,✗,✗
bfd_get_full_section_contents,✓,✗,✗,✗
bfd_get_link_info,✓,✗,✗,✗
bfd_get_linker_section,✓,✗,✗,✗
bfd_get_mach,✓,✗,✗,✗
bfd_get_mtime,✓,✗,✗,✗
bfd_get_next_mapent,✓,✗,✗,✗
